Date;P1;Q1;P2;Q2;P3;Q3;;
22.07.2017 01:19;7.133333333;0;7.133333333;0;7.133333333;0;;
22.07.2017 01:20;7.136666667;0;7.136666667;0;7.136666667;0;;
22.07.2017 01:21;7.133333333;0;7.133333333;0;7.133333333;0;;
22.07.2017 01:22;7.133333333;0;7.133333333;0;7.133333333;0;;
22.07.2017 01:23;7.14;0;7.14;0;7.14;0;;
22.07.2017 01:24;7.133333333;0;7.133333333;0;7.133333333;0;;
22.07.2017 01:25;7.146666667;0;7.146666667;0;7.146666667;0;;
22.07.2017 01:26;7.143333333;0;7.143333333;0;7.143333333;0;;
22.07.2017 01:27;7.133333333;0;7.133333333;0;7.133333333;0;;
22.07.2017 01:28;7.143333333;0;7.143333333;0;7.143333333;0;;
22.07.2017 01:29;7.16;0;7.16;0;7.16;0;;
22.07.2017 01:30;7.136666667;0;7.136666667;0;7.136666667;0;;
22.07.2017 01:31;7.126666667;0;7.126666667;0;7.126666667;0;;
22.07.2017 01:32;7.14;0;7.14;0;7.14;0;;
22.07.2017 01:33;6.903333333;0;6.903333333;0;6.903333333;0;;
22.07.2017 01:34;6.876666667;0;6.876666667;0;6.876666667;0;;
22.07.2017 01:35;6.903333333;0;6.903333333;0;6.903333333;0;;
22.07.2017 01:36;6.41;0;6.41;0;6.41;0;;
22.07.2017 01:37;6.44;0;6.44;0;6.44;0;;
22.07.2017 01:38;6.406666667;0;6.406666667;0;6.406666667;0;;
22.07.2017 01:39;6.406666667;0;6.406666667;0;6.406666667;0;;
22.07.2017 01:40;6.43;0;6.43;0;6.43;0;;
22.07.2017 01:41;6.403333333;0;6.403333333;0;6.403333333;0;;
22.07.2017 01:42;6.416666667;0;6.416666667;0;6.416666667;0;;
22.07.2017 01:43;6.426666667;0;6.426666667;0;6.426666667;0;;
22.07.2017 01:44;6.43;0;6.43;0;6.43;0;;
22.07.2017 01:45;6.43;0;6.43;0;6.43;0;;
22.07.2017 01:46;6.41;0;6.41;0;6.41;0;;
22.07.2017 01:47;6.426666667;0;6.426666667;0;6.426666667;0;;
22.07.2017 01:48;6.423333333;0;6.423333333;0;6.423333333;0;;
22.07.2017 01:49;6.423333333;0;6.423333333;0;6.423333333;0;;
22.07.2017 01:50;6.426666667;0;6.426666667;0;6.426666667;0;;
22.07.2017 01:51;6.416666667;0;6.416666667;0;6.416666667;0;;
22.07.2017 01:52;6.426666667;0;6.426666667;0;6.426666667;0;;
22.07.2017 01:53;6.433333333;0;6.433333333;0;6.433333333;0;;
22.07.2017 01:54;6.416666667;0;6.416666667;0;6.416666667;0;;
22.07.2017 01:55;6.423333333;0;6.423333333;0;6.423333333;0;;
22.07.2017 01:56;6.423333333;0;6.423333333;0;6.423333333;0;;
22.07.2017 01:57;6.41;0;6.41;0;6.41;0;;
22.07.2017 01:58;6.436666667;0;6.436666667;0;6.436666667;0;;
22.07.2017 01:59;6.426666667;0;6.426666667;0;6.426666667;0;;
22.07.2017 02:00;6.433333333;0;6.433333333;0;6.433333333;0;;
